Country Name,reduced_cotwo_emi,Year,Value,Indicator Name
France,1,1996,4191.68300811561,en_use
United Kingdom,1,1996,3879.82278596351,en_use
Greece,1,1996,2206.10389487972,en_use
Hungary,1,1996,2572.97436059569,en_use
Ireland,1,1996,3122.33560869936,en_use
Iceland,0,1996,8847.78518198992,en_use
Israel,0,1996,2801.2083626142,en_use
Italy,1,1996,2796.15473585155,en_use
Japan,0,1996,4008.4762359153,en_use
"Korea, Rep.",0,1996,3454.85485115206,en_use
Lithuania,1,1996,2610.04194509516,en_use
Luxembourg,1,1996,7711.17870722433,en_use
Latvia,0,1996,1839.98352611201,en_use
Mexico,0,1996,1470.57007439574,en_use
Netherlands,0,1996,5014.98883036462,en_use
Norway,0,1996,5202.04727507774,en_use
New Zealand,0,1996,4131.23633440514,en_use
Poland,0,1996,2680.10207027325,en_use
Portugal,1,1996,1986.83697098901,en_use
Slovak Republic,1,1996,3364.25879444914,en_use
Slovenia,1,1996,3180.2061521813,en_use
Sweden,1,1996,5825.09791315415,en_use
Turkiye,0,1996,1109.92116169318,en_use
United States,1,1996,7844.46826581141,en_use
Australia,0,1997,5497.49658538926,en_use
Austria,1,1997,3550.40417086207,en_use
Belgium,1,1997,5523.45916437528,en_use
Canada,0,1997,8056.24362752186,en_use
Switzerland,1,1997,3525.89130114012,en_use
Chile,0,1997,1536.13188317143,en_use
Colombia,0,1997,735.583763850779,en_use
Costa Rica,0,1997,641.182418347653,en_use
Czechia,1,1997,4184.88468362834,en_use
Germany,0,1997,4203.35736659763,en_use
Denmark,1,1997,3848.15584359557,en_use
Spain,1,1997,2634.64912802979,en_use
Estonia,1,1997,4010.91576845166,en_use
Finland,1,1997,6276.95169202902,en_use
France,1,1997,4048.88862327435,en_use
United Kingdom,1,1997,3760.71236505254,en_use
Greece,1,1997,2282.13703465979,en_use
Hungary,1,1997,2527.30162598734,en_use
Ireland,1,1997,3255.49845121525,en_use
Iceland,0,1997,8584.10049865746,en_use
Israel,0,1997,2881.12834132968,en_use
Italy,1,1997,2834.4029460732,en_use
Japan,0,1997,4041.16767018095,en_use
"Korea, Rep.",0,1997,3726.15776616316,en_use
Lithuania,1,1997,2490.34764262181,en_use
Luxembourg,1,1997,7409.85099535105,en_use
Latvia,0,1997,1821.35198579773,en_use
Mexico,0,1997,1520.9568808694,en_use
Netherlands,0,1997,4835.74194540266,en_use
Norway,0,1997,5475.18873901657,en_use
New Zealand,0,1997,4258.75677676989,en_use
Poland,0,1997,2643.12353588621,en_use
Portugal,1,1997,2083.48767634945,en_use
Slovak Republic,1,1997,3361.88402224587,en_use
Slovenia,1,1997,3310.40063324666,en_use
Sweden,1,1997,5672.00817719794,en_use
Turkiye,0,1997,1149.00629148489,en_use
United States,1,1997,7828.58109639584,en_use
Australia,0,1998,5584.51919389427,en_use
Austria,1,1998,3606.61037918892,en_use
Belgium,1,1998,5603.16026411035,en_use
Canada,0,1998,7948.39727830446,en_use
Switzerland,1,1998,3557.99007623206,en_use
Chile,0,1998,1570.72669517152,en_use
Colombia,0,1998,757.081213587855,en_use
Costa Rica,0,1998,623.81480606298,en_use
Czechia,1,1998,4057.40582743602,en_use
Germany,0,1998,4177.29412931179,en_use
Denmark,1,1998,3772.11027674385,en_use
Spain,1,1998,2756.21890670951,en_use
Estonia,1,1998,3695.1706734307,en_use
Finland,1,1998,6319.32660107756,en_use
France,1,1998,4151.17873751989,en_use
United Kingdom,1,1998,3787.10845175352,en_use
Greece,1,1998,2389.79315254528,en_use
Hungary,1,1998,2502.20404672641,en_use
Ireland,1,1998,3417.56852702187,en_use
Iceland,0,1998,9036.65429652578,en_use
Israel,0,1998,2885.72651147211,en_use
Italy,1,1998,2912.94736525428,en_use
Japan,0,1998,3955.62762658228,en_use
"Korea, Rep.",0,1998,3377.63507431097,en_use
Lithuania,1,1998,2633.26187385736,en_use
Luxembourg,1,1998,7066.88485990111,en_use
Latvia,0,1998,1796.18085998492,en_use
Mexico,0,1998,1537.23984534578,en_use
Netherlands,0,1998,4842.44393768492,en_use
Norway,0,1998,5684.78859356637,en_use
New Zealand,0,1998,4162.86920052425,en_use
Poland,0,1998,2459.83453998878,en_use
Portugal,1,1998,2240.06731759899,en_use
Slovak Republic,1,1998,3256.50253148307,en_use
Slovenia,1,1998,3253.80886129543,en_use
Sweden,1,1998,5769.69506406865,en_use
Turkiye,0,1998,1152.72879797123,en_use
