country,date,Urbanization_rate,Renewable_elec_output,log_CO2_emissions,log_GDP,log_Population,log_Energy_use
Hungary,1998,64.829,0.578112395805324,10.957003097950802,24.60908422708277,16.14440364105046,7.825326808974655
Hungary,1997,64.956,0.759951408311439,10.950650394274636,24.57971171027951,16.14673043419275,7.83530306222666
Hungary,1996,65.083,0.7324023938444,10.97602790278121,24.566126424071108,16.148745023360533,7.853206427187926
Hungary,1995,65.209,0.643776824034335,10.958362141811419,24.561118542573908,16.150462739280382,7.8256758024703705
Hungary,1994,65.335,0.614650156646278,10.9644896970548,24.488334709021366,16.151854939181703,7.786422376162162
Hungary,1993,65.461,0.622816345131399,10.97478688183526,24.415263348403034,16.153223770092488,7.817000615015285
Hungary,1992,65.587,0.643837778128452,10.968248288278598,24.379895458766047,16.154364125926378,7.793248374132072
Hungary,1991,65.713,0.727563995594567,11.075244969019703,24.27154812868611,16.154755491721325,7.880018915819511
Hungary,1990,65.838,0.685750457166971,11.118726653135957,24.260330391123276,16.154812173549754,7.928583317692187
Iceland,2015,93.7,99.9787222724613,7.629732841209959,23.58644969288853,12.709317608555711,9.768806530019964
Iceland,2014,93.667,99.9834464492634,7.6248630969869255,23.6062583337706,12.69889823635014,9.793511982798872
Iceland,2013,93.633,99.9724000883197,7.617169432005954,23.503640452570767,12.68777322296892,9.8080300076902
Iceland,2012,93.6,99.9829050088324,7.528815520647181,23.414611160915214,12.678314393319036,9.777418048649936
Iceland,2011,93.587,99.9883795247226,7.5439881335573284,23.44598281489971,12.672993402605059,9.806899451991672
Iceland,2010,93.574,99.9882759833519,7.58076301552952,23.344389160669873,12.669938728512815,9.742389191459141
Iceland,2009,93.511,99.9881192824047,7.653969180478774,23.300023221386557,12.671377753994355,9.735783425672803
Iceland,2008,93.395,99.9878544968725,7.6887439085932225,23.617774746572792,12.667965344936981,9.702278623440082
Iceland,2007,93.278,99.9749519913167,7.776522444213445,23.7983870166963,12.64936968236398,9.598797076322555
Iceland,2006,93.159,99.9597180261833,7.746235809285471,23.583482954563294,12.624068909711092,9.452109907489637
Iceland,2005,93.037,99.9424361040755,7.724115172231243,23.54779232802091,12.600594763595353,9.26159202796965
Iceland,2004,92.914,99.9536124318683,7.7454312831339065,23.349766267426034,12.58476589758535,9.261532478085307
Iceland,2003,92.789,99.9294117647059,7.708594754488295,23.15944896124345,12.575986566199395,9.281015833777666
Iceland,2002,92.662,99.9287072243346,7.716358345039365,22.95525624650811,12.569061613996295,9.287823657794675
Iceland,2001,92.532,99.9502054027138,7.679847642078261,22.831640597562156,12.560135681404867,9.26770945893693
Iceland,2000,92.401,99.934929724102,7.70815917627379,22.923337508877278,12.546842775817614,9.314028888926606
Iceland,1999,92.267,99.9304396215915,7.657467086014089,22.918493710026947,12.533150896509518,9.214263857506094
Iceland,1998,92.121,99.9203948415857,7.675258258127155,22.863766388391127,12.5210585525093,9.109154939242528
Iceland,1997,91.96,99.9283924095954,7.675532081327259,22.74741569690189,12.5103500013629,9.05778347957144
Iceland,1996,91.797,99.902400936951,7.726530200436103,22.728264271508323,12.5021580607867,9.08803546100816
